Store,Date,Temperature,Fuel_Price,CPI,Weekly_Sales
1,5/2/2010,42.31,2.572,211.0963582,1643690.9
1,12/2/2010,38.51,2.548,211.2421698,1641957.44
1,19-02-2010,39.93,2.514,211.2891429,1611968.17
1,26-02-2010,46.63,2.561,211.3196429,1409727.59
1,5/3/2010,46.5,2.625,211.3501429,1554806.68
1,12/3/2010,57.79,2.667,211.3806429,1439541.59
1,19-03-2010,54.58,2.72,211.215635,1472515.79
1,26-03-2010,51.45,2.732,211.0180424,1404429.92
1,2/4/2010,62.27,2.719,210.8204499,1594968.28
1,9/4/2010,65.86,2.77,210.6228574,1545418.53
1,16-04-2010,66.32,2.808,210.4887,1466058.28
1,23-04-2010,64.84,2.795,210.4391228,1391256.12
1,30-04-2010,67.41,2.78,210.3895456,1425100.71
1,7/5/2010,72.55,2.835,210.3399684,1603955.12
1,14-05-2010,74.78,2.854,210.3374261,1494251.5
1,21-05-2010,76.44,2.826,210.6170934,1399662.07
1,28-05-2010,80.44,2.759,210.8967606,1432069.95
1,4/6/2010,80.69,2.705,211.1764278,1615524.71
1,11/6/2010,80.43,2.668,211.4560951,1542561.09
1,18-06-2010,84.11,2.637,211.4537719,1503284.06
1,25-06-2010,84.34,2.653,211.3386526,1422711.6
1,2/7/2010,80.91,2.669,211.2235333,1492418.14
1,9/7/2010,80.48,2.642,211.108414,1546074.18
1,16-07-2010,83.15,2.623,211.1003854,1448938.92
1,23-07-2010,83.36,2.608,211.2351443,1385065.2
1,30-07-2010,81.84,2.64,211.3699032,1371986.6
1,6/8/2010,87.16,2.627,211.5046621,1605491.78
1,13-08-2010,87,2.692,211.6394211,1508237.76
1,20-08-2010,86.65,2.664,211.6033633,1513080.49
1,27-08-2010,85.22,2.619,211.5673056,1449142.92
1,3/9/2010,81.21,2.577,211.5312479,1540163.53
1,10/9/2010,78.69,2.565,211.4951902,1507460.69
1,17-09-2010,82.11,2.582,211.5224596,1430378.67
1,24-09-2010,80.94,2.624,211.5972246,1351791.03
